,geocentricTime,RA,DEC
703,2433985.5,150.81233,23.84264
704,2433986.5,150.80975,23.84876
705,2433987.5,150.80681,23.85498
706,2433988.5,150.80352,23.8613
707,2433989.5,150.79988,23.86771
708,2433990.5,150.79589,23.87422
709,2433991.5,150.79155,23.88083
710,2433992.5,150.78687,23.88752
711,2433993.5,150.78184,23.89431
712,2433994.5,150.77646,23.90118
713,2433995.5,150.77075,23.90814
714,2433996.5,150.7647,23.91519
715,2433997.5,150.75831,23.92232
716,2433998.5,150.75159,23.92952
717,2433999.5,150.74454,23.93681
718,2434000.5,150.73715,23.94417
719,2434001.5,150.72944,23.95161
720,2434002.5,150.72141,23.95912
721,2434003.5,150.71305,23.9667
722,2434004.5,150.70438,23.97434
723,2434005.5,150.69538,23.98205
724,2434006.5,150.68608,23.98983
725,2434007.5,150.67646,23.99766
726,2434008.5,150.66654,24.00555
727,2434009.5,150.65632,24.0135
728,2434010.5,150.6458,24.0215
729,2434011.5,150.63499,24.02955
730,2434012.5,150.62389,24.03765
731,2434013.5,150.61251,24.04579
732,2434014.5,150.60084,24.05397
733,2434015.5,150.58891,24.06219
734,2434016.5,150.5767,24.07044
735,2434017.5,150.56423,24.07873
736,2434018.5,150.5515,24.08705
737,2434019.5,150.53852,24.09539
738,2434020.5,150.52528,24.10377
739,2434021.5,150.51181,24.11216
740,2434022.5,150.49809,24.12057
741,2434023.5,150.48414,24.129
742,2434024.5,150.46996,24.13745
743,2434025.5,150.45555,24.14591
744,2434026.5,150.44093,24.15438
745,2434027.5,150.42609,24.16285
746,2434028.5,150.41104,24.17133
747,2434029.5,150.39579,24.17981
748,2434030.5,150.38034,24.18829
749,2434031.5,150.3647,24.19677
750,2434032.5,150.34887,24.20524
751,2434033.5,150.33286,24.2137
752,2434034.5,150.31668,24.22215
753,2434035.5,150.30033,24.23058
754,2434036.5,150.28381,24.239
755,2434037.5,150.26714,24.2474
756,2434038.5,150.25032,24.25577
757,2434039.5,150.23336,24.26412
758,2434040.5,150.21626,24.27244
759,2434041.5,150.19903,24.28073
760,2434042.5,150.18168,24.28898
761,2434043.5,150.16422,24.29719
762,2434044.5,150.14665,24.30536
763,2434045.5,150.12898,24.31349
764,2434046.5,150.11122,24.32158
765,2434047.5,150.09337,24.32961
766,2434048.5,150.07544,24.3376
767,2434049.5,150.05744,24.34553
768,2434050.5,150.03937,24.35341
769,2434051.5,150.02124,24.36122
770,2434052.5,150.00305,24.36898
771,2434053.5,149.98482,24.37668
772,2434054.5,149.96655,24.38431
773,2434055.5,149.94824,24.39188
