,geocentricTime,RA,DEC
2939,2436221.5,284.65871,-23.61769
2940,2436222.5,284.68812,-23.61558
2941,2436223.5,284.71742,-23.61348
2942,2436224.5,284.7466,-23.6114
2943,2436225.5,284.77564,-23.60932
2944,2436226.5,284.80454,-23.60727
2945,2436227.5,284.8333,-23.60522
2946,2436228.5,284.8619,-23.60319
2947,2436229.5,284.89034,-23.60118
2948,2436230.5,284.91861,-23.59919
2949,2436231.5,284.94671,-23.59721
2950,2436232.5,284.97462,-23.59525
2951,2436233.5,285.00235,-23.59331
2952,2436234.5,285.02987,-23.59139
2953,2436235.5,285.0572,-23.58949
2954,2436236.5,285.08432,-23.58761
2955,2436237.5,285.11122,-23.58575
2956,2436238.5,285.13791,-23.58391
2957,2436239.5,285.16437,-23.5821
2958,2436240.5,285.19059,-23.58031
2959,2436241.5,285.21658,-23.57854
2960,2436242.5,285.24233,-23.5768
2961,2436243.5,285.26782,-23.57508
2962,2436244.5,285.29306,-23.57339
2963,2436245.5,285.31803,-23.57172
2964,2436246.5,285.34274,-23.57009
2965,2436247.5,285.36717,-23.56848
2966,2436248.5,285.39132,-23.5669
2967,2436249.5,285.41518,-23.56535
2968,2436250.5,285.43874,-23.56383
2969,2436251.5,285.46201,-23.56235
2970,2436252.5,285.48497,-23.56089
2971,2436253.5,285.50761,-23.55947
2972,2436254.5,285.52994,-23.55808
2973,2436255.5,285.55194,-23.55672
2974,2436256.5,285.57361,-23.5554
2975,2436257.5,285.59495,-23.55411
2976,2436258.5,285.61595,-23.55286
2977,2436259.5,285.6366,-23.55165
2978,2436260.5,285.6569,-23.55047
2979,2436261.5,285.67685,-23.54932
2980,2436262.5,285.69644,-23.54822
2981,2436263.5,285.71567,-23.54715
2982,2436264.5,285.73453,-23.54612
2983,2436265.5,285.75302,-23.54513
2984,2436266.5,285.77114,-23.54418
2985,2436267.5,285.78887,-23.54327
2986,2436268.5,285.80623,-23.54239
2987,2436269.5,285.82321,-23.54156
2988,2436270.5,285.83979,-23.54077
2989,2436271.5,285.85599,-23.54002
2990,2436272.5,285.87178,-23.53931
2991,2436273.5,285.88718,-23.53864
2992,2436274.5,285.90218,-23.53802
2993,2436275.5,285.91676,-23.53744
2994,2436276.5,285.93094,-23.5369
2995,2436277.5,285.9447,-23.5364
2996,2436278.5,285.95805,-23.53595
